"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Performances and attendance, not-for-profit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Prince Edward Island","2016A000211","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579210","3.1.3","105","","","","0"
"2018","Nova Scotia","2016A000212","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579211","4.1.1","1721","","","","0"
"2018","Nova Scotia","2016A000212","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579212","4.1.2","484873","","","","0"
"2018","Nova Scotia","2016A000212","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579213","4.1.3","282","","","","0"
"2018","New Brunswick","2016A000213","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579214","5.1.1","","x","","","0"
"2018","New Brunswick","2016A000213","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579215","5.1.2","101791","","","","0"
"2018","New Brunswick","2016A000213","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579216","5.1.3","","x","","","0"
"2018","Quebec","2016A000224","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579217","6.1.1","12359","","","","0"
"2018","Quebec","2016A000224","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579218","6.1.2","3640434","","","","0"
"2018","Quebec","2016A000224","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579219","6.1.3","295","","","","0"
"2018","Ontario","2016A000235","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579220","7.1.1","13402","","","","0"
"2018","Ontario","2016A000235","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579221","7.1.2","4207836","","","","0"
"2018","Ontario","2016A000235","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579222","7.1.3","314","","","","0"
"2018","Manitoba","2016A000246","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579223","8.1.1","1590","","","","0"
"2018","Manitoba","2016A000246","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579224","8.1.2","729380","","","","0"
"2018","Manitoba","2016A000246","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579225","8.1.3","459","","","","0"
"2018","Saskatchewan","2016A000247","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579226","9.1.1","1251","","","","0"
"2018","Saskatchewan","2016A000247","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579227","9.1.2","342824","","","","0"
"2018","Saskatchewan","2016A000247","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579228","9.1.3","274","","","","0"
"2018","Alberta","2016A000248","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579229","10.1.1","7870","","","","0"
"2018","Alberta","2016A000248","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579230","10.1.2","1959852","","","","0"
"2018","Alberta","2016A000248","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579231","10.1.3","249","","","","0"
"2018","British Columbia","2016A000259","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579232","11.1.1","7382","","","","0"
"2018","British Columbia","2016A000259","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579233","11.1.2","2138750","","","","0"
"2018","British Columbia","2016A000259","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579234","11.1.3","290","","","","0"
"2018","Yukon","2016A000260","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579235","12.1.1","","x","","","0"
"2018","Yukon","2016A000260","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579236","12.1.2","","x","","","0"
"2018","Yukon","2016A000260","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579237","12.1.3","","x","","","0"
"2018","Northwest Territories","2016A000261","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579238","13.1.1","","..","","","0"
"2018","Northwest Territories","2016A000261","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579239","13.1.2","","..","","","0"
"2018","Northwest Territories","2016A000261","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579240","13.1.3","","..","","","0"
"2018","Nunavut","2016A000262","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579241","14.1.1","","x","","","0"
"2018","Nunavut","2016A000262","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579242","14.1.2","","x","","","0"
"2018","Nunavut","2016A000262","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579243","14.1.3","","x","","","0"
"2020","Canada","2016A000011124","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579187","1.1.1","22616","","","","0"
"2020","Canada","2016A000011124","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579188","1.1.2","6211975","","","","0"
"2020","Canada","2016A000011124","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579189","1.1.3","275","","","","0"
"2020","Canada","2016A000011124","Theatre (except musical) companies [711111]","Total performances","Number","223","units","0","v107579190","1.2.1","16528","","","","0"
"2020","Canada","2016A000011124","Theatre (except musical) companies [711111]","Total attendance","Number","223","units","0","v107579191","1.2.2","3191385","","","","0"
"2020","Canada","2016A000011124","Theatre (except musical) companies [711111]","Average attendance per performance","Number","223","units","0","v107579192","1.2.3","193","","","","0"
"2020","Canada","2016A000011124","Musical theatre and opera companies [711112]","Total performances","Number","223","units","0","v107579193","1.3.1","846","","","","0"
"2020","Canada","2016A000011124","Musical theatre and opera companies [711112]","Total attendance","Number","223","units","0","v107579194","1.3.2","296759","","","","0"
"2020","Canada","2016A000011124","Musical theatre and opera companies [711112]","Average attendance per performance","Number","223","units","0","v107579195","1.3.3","351","","","","0"
"2020","Canada","2016A000011124","Dance companies [711120]","Total performances","Number","223","units","0","v107579196","1.4.1","1677","","","","0"
"2020","Canada","2016A000011124","Dance companies [711120]","Total attendance","Number","223","units","0","v107579197","1.4.2","651380","","","","0"
"2020","Canada","2016A000011124","Dance companies [711120]","Average attendance per performance","Number","223","units","0","v107579198","1.4.3","388","","","","0"
"2020","Canada","2016A000011124","Musical groups and artists [711130]","Total performances","Number","223","units","0","v107579199","1.5.1","3073","","","","0"
"2020","Canada","2016A000011124","Musical groups and artists [711130]","Total attendance","Number","223","units","0","v107579200","1.5.2","1810448","","","","0"
"2020","Canada","2016A000011124","Musical groups and artists [711130]","Average attendance per performance","Number","223","units","0","v107579201","1.5.3","589","","","","0"
"2020","Canada","2016A000011124","Other performing arts companies [711190]","Total performances","Number","223","units","0","v107579202","1.6.1","493","","","","0"
"2020","Canada","2016A000011124","Other performing arts companies [711190]","Total attendance","Number","223","units","0","v107579203","1.6.2","262003","","","","0"
"2020","Canada","2016A000011124","Other performing arts companies [711190]","Average attendance per performance","Number","223","units","0","v107579204","1.6.3","532","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579205","2.1.1","252","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579206","2.1.2","","x","","","0"
"2020","Newfoundland and Labrador","2016A000210","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579207","2.1.3","","x","","","0"
"2020","Prince Edward Island","2016A000211","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579208","3.1.1","","x","","","0"
"2020","Prince Edward Island","2016A000211","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579209","3.1.2","","x","","","0"
"2020","Prince Edward Island","2016A000211","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579210","3.1.3","","x","","","0"
"2020","Nova Scotia","2016A000212","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579211","4.1.1","562","","","","0"
